ClassNav course extraction
Timestamp: 2025-03-26 14:12:18
====================================================================================================
CRN | Subject | Course | Section | Title | Instructor | Dates
39209 | A HI | 5990 | 001 | Independent Study | Palmer, Allison | Aug 25 - Dec 19
49731 | A HI | 6203 | 001 | Native American Art | Chavez, Yve | Aug 25 - Dec 12
42250 | A HI | 6950 | 001 | Dissertation Proposal | Fields, Alison | Aug 25 - Dec 19
48208 | A HI | 6950 | 002 | Dissertation Proposal | Bailey, Robert | Aug 25 - Dec 19
43734 | A HI | 6950 | 003 | Dissertation Proposal | Duncan O'Neill, Erin | Aug 25 - Dec 19
48303 | A HI | 6950 | 004 | Dissertation Proposal | Burns, Emily | Aug 25 - Dec 19
45142 | A HI | 6960 | 001 | Directed Readings | Duncan O'Neill, Erin | Aug 25 - Dec 19
37500 | A HI | 6960 | 002 | Directed Readings | Bailey, Robert | Aug 25 - Dec 19
40748 | A HI | 6960 | 003 | Directed Readings | Fields, Alison | Aug 25 - Dec 19
47093 | A HI | 6960 | 004 | Directed Readings | Palmer, Allison | Aug 25 - Dec 19
47139 | A HI | 6960 | 006 | Directed Readings | Harris, Alicia | Aug 25 - Dec 19
38872 | A HI | 6980 | 001 | Research Doctoral Dissertation | Fields, Alison | Aug 25 - Dec 19
45132 | A HI | 6980 | 002 | Research Doctoral Dissertation | Duncan O'Neill, Erin | Aug 25 - Dec 19
48355 | A HI | 6980 | 003 | Research Doctoral Dissertation | Palmer, Allison | Aug 25 - Dec 19
48797 | A HI | 6980 | 004 | Research Doctoral Dissertation | Price, B. Byron | Aug 25 - Dec 19
50620 | A HI | 6980 | 005 | Research Doctoral Dissertation | Burns, Emily | Aug 25 - Dec 19
29951 | A HI | 6980 | 041 | Research Doctoral Dissertation | Bailey, Robert | Aug 25 - Dec 19
33703 | A HI | 6980 | 047 | Research Doctoral Dissertation | Haltman, Kenneth | Aug 25 - Dec 19
50599 | A HI | 6990 | 001 | Independent Study | Burns, Emily | Aug 25 - Dec 19
50600 | A HI | 6990 | 002 | Independent Study | Fields, Alison | Aug 25 - Dec 19
46868 | A T | 5803 | 997 | History & Theory of Art & Tech | Faubert, Cathleen | Aug 25 - Dec 12
46869 | A T | 5813 | 997 | Creative Coding Techniques | Richardson, Brent | Aug 25 - Dec 12
51389 | AAI | 3303 | 980 | Machine Learning I | Butt, Ahmed Ashraf | Aug 25 - Dec 19
51390 | AAI | 3333 | 980 | Mathematics of AI | MacDonald, Gregory | Aug 25 - Dec 19
51391 | AAI | 4303 | 980 | Deep Learning I | MacDonald, Gregory | Aug 25 - Dec 19
51393 | AAI | 4323 | 980 | Ethics of AI and Machine Lrng | Beattie, Matthew | Aug 25 - Dec 19
51392 | AAI | 5303 | 980 | Deep Learning I | MacDonald, Gregory | Aug 25 - Dec 19
51394 | AAI | 5323 | 980 | Ethics of AI and Machine Lrng | Beattie, Matthew | Aug 25 - Dec 19
11131 | ACCT | 2113 | 001 | Fundmntl Financial Accounting | Thomas, Wayne | Aug 25 - Dec 12
11132 | ACCT | 2113 | 002 | Fundmntl Financial Accounting | Thomas, Wayne | Aug 25 - Dec 12
11138 | ACCT | 2113 | 003 | Fundmntl Fin. Acct    (HONORS) | Ayres, Frances | Aug 25 - Dec 12
50756 | ACCT | 2113 | 004 | Fundmntl Financial Accounting | TBA | Aug 25 - Dec 12
50757 | ACCT | 2113 | 007 | Fundmntl Financial Accounting | TBA | Aug 25 - Dec 12
44141 | ACCT | 2113 | 009 | Fundmntl Financial Accounting | Herron, Armine | Aug 25 - Dec 19
44142 | ACCT | 2113 | 010 | Fundmntl Financial Accounting | Herron, Armine | Aug 25 - Dec 19
44116 | ACCT | 2113 | 011 | Fundmntl Financial Accounting | Herron, Armine | Aug 25 - Dec 19
44117 | ACCT | 2113 | 012 | Fundmntl Financial Accounting | Herron, Armine | Aug 25 - Dec 19
42982 | ACCT | 2113 | 013 | Fundmntl Financial Accounting | Herron, Armine | Aug 25 - Dec 12
51477 | ACCT | 2113 | 015 | Fundmntl Financial Accounting | Herron, Armine | Aug 25 - Dec 12
44085 | ACCT | 2113 | 995 | Fundmntl Financial Accounting | Hays, Kirk | Aug 25 - Dec 19
11140 | ACCT | 2123 | 001 | Fundmntl Managerial Accounting | Kern, Jonathan | Aug 25 - Dec 12
11143 | ACCT | 2123 | 002 | Fundmntl Managerial Accounting | Kern, Jonathan | Aug 25 - Dec 12
48957 | ACCT | 2123 | 006 | Fundmntl Managerial Accounting | Kellis, Kaimee | Aug 25 - Dec 19
25478 | ACCT | 3033 | 001 | Financial Reporting in Energy | Stetson, Tracy | Aug 25 - Dec 12
27624 | ACCT | 3113 | 001 | Intermediate Accounting I | Kern, Jonathan | Aug 25 - Dec 12
11148 | ACCT | 3113 | 002 | Intermediate Accounting I | Kern, Jonathan | Aug 25 - Dec 12
11150 | ACCT | 3113 | 004 | Intermediate Accounting I | Kern, Jonathan | Aug 25 - Dec 12
42986 | ACCT | 3113 | 005 | Intermediate Accounting I | Ohn, Heejin | Aug 25 - Dec 12
42983 | ACCT | 3113 | 006 | Intermediate Accounting I | Ohn, Heejin | Aug 25 - Dec 12
42984 | ACCT | 3113 | 007 | Intermediate Accounting I | Ohn, Heejin | Aug 25 - Dec 12
51476 | ACCT | 3113 | 008 | Intermediate Accounting I | Ohn, Heejin | Aug 25 - Dec 12
11151 | ACCT | 3123 | 001 | Intermediate Accounting II | Hennes, Karen | Aug 25 - Dec 12
25479 | ACCT | 3123 | 002 | Intermediate Accounting II | Hennes, Karen | Aug 25 - Dec 12
37918 | ACCT | 3123 | 003 | Intermediate Accounting II | Li, Meng | Aug 25 - Dec 12
37919 | ACCT | 3123 | 004 | Intermediate Accounting II | Li, Meng | Aug 25 - Dec 12
42985 | ACCT | 3123 | 005 | Intermediate Accounting II | Li, Meng | Aug 25 - Dec 12
44128 | ACCT | 3313 | 001 | Cost Accounting | Kellis, Kaimee | Aug 25 - Dec 19
36591 | ACCT | 3313 | 002 | Cost Accounting | Kellis, Kaimee | Aug 25 - Dec 19
48958 | ACCT | 3313 | 003 | Cost Accounting | Kellis, Kaimee | Aug 25 - Dec 19
23601 | ACCT | 3353 | 001 | Systems/Databases | Davis, Ashley | Aug 25 - Dec 12
30049 | ACCT | 3353 | 002 | Systems/Databases | Herron, Armine | Aug 25 - Dec 12
37910 | ACCT | 3353 | 003 | Systems/Databases | Davis, Ashley | Aug 25 - Dec 12
44143 | ACCT | 3353 | 004 | Systems/Databases | Herron, Armine | Aug 25 - Dec 12
50759 | ACCT | 3353 | 005 | Systems/Databases | Feng, Qinghua | Aug 25 - Dec 12
37920 | ACCT | 3603 | 002 | Income Tax Accounting I | Blaylock, Bradley | Aug 25 - Dec 12
42990 | ACCT | 3603 | 003 | Income Tax Accounting I | Blaylock, Bradley | Aug 25 - Dec 12
42991 | ACCT | 3603 | 004 | Income Tax Accounting I | Blaylock, Bradley | Aug 25 - Dec 12
11204 | ACCT | 3960 | 001 | Honors Reading        (HONORS) | TBA | Aug 25 - Dec 19
25484 | ACCT | 3960 | 005 | Honors Reading        (HONORS) | Hennes, Karen | Aug 25 - Dec 19
11207 | ACCT | 3980 | 001 | Honors Research       (HONORS) | Thomas, Wayne | Aug 25 - Dec 19
11210 | ACCT | 3980 | 002 | Honors Research       (HONORS) | TBA | Aug 25 - Dec 19
11212 | ACCT | 3980 | 003 | Honors Research       (HONORS) | Blaylock, Bradley | Aug 25 - Dec 19
11214 | ACCT | 3980 | 004 | Honors Research       (HONORS) | Davis, Ashley | Aug 25 - Dec 19
25485 | ACCT | 3980 | 005 | Honors Research       (HONORS) | Hennes, Karen | Aug 25 - Dec 19
37386 | ACCT | 3980 | 006 | Honors Research       (HONORS) | Price, Richard | Aug 25 - Dec 19
11216 | ACCT | 3980 | 007 | Honors Research       (HONORS) | Kellis, Kaimee | Aug 25 - Dec 19
46737 | ACCT | 3980 | 008 | Honors Research       (HONORS) | Newton, Ashley | Aug 25 - Dec 19
47043 | ACCT | 3980 | 009 | Honors Research       (HONORS) | Lin, Chenxi | Aug 25 - Dec 19
48820 | ACCT | 3980 | 010 | Honors Research       (HONORS) | Ohn, Heejin | Aug 25 - Dec 19
44167 | ACCT | 4543 | 001 | Auditing | Jensen, Kevan | Aug 25 - Dec 12
11181 | ACCT | 4543 | 002 | Auditing | Jensen, Kevan | Aug 25 - Dec 12
44115 | ACCT | 4543 | 003 | Auditing | Jensen, Kevan | Aug 25 - Dec 12
47712 | ACCT | 4563 | 001 | Oil & Gas Accounting I | Hale, Jean | Aug 25 - Dec 12
25783 | ACCT | 4703 | 001 | Income Tax Accounting II | TBA | Aug 25 - Dec 12
11218 | ACCT | G4990 | 001 | Special Problems in Accounting | TBA | Aug 25 - Dec 19
11220 | ACCT | G4990 | 016 | Special Problems in Accounting | TBA | Aug 25 - Dec 19
28052 | ACCT | 5100 | 001 | ACCT Professional Development | Deberry, Hayden | Aug 25 - Dec 12
25483 | ACCT | 5113 | 001 | Advanced Accounting | Dulin, Joseph | Aug 25 - Dec 12
39914 | ACCT | 5113 | 002 | Advanced Accounting | Dulin, Joseph | Aug 25 - Dec 12
48088 | ACCT | 5123 | 995 | Adv Acct - Spec Topics | Dulin, Joseph | Aug 25 - Dec 12
11189 | ACCT | 5202 | 930 | Financial Accounting | Greenwell, David | Aug 25 - Oct 17
38452 | ACCT | 5202 | 931 | Financial Accounting | Greenwell, David | Aug 25 - Oct 17
38453 | ACCT | 5202 | 935 | Financial Accounting | Greenwell, David | Aug 25 - Oct 17
11190 | ACCT | 5202 | 936 | Financial Accounting | Greenwell, David | Aug 25 - Oct 17
38454 | ACCT | 5202 | 937 | Financial Accounting | Greenwell, David | Aug 25 - Oct 17
38347 | ACCT | 5202 | 938 | Financial Accounting | Greenwell, David | Aug 25 - Oct 17
50235 | ACCT | 5202 | 993 | Financial Accounting | Thomas, Wayne | Aug 25 - Oct 17
44686 | ACCT | 5202 | 994 | Financial Accounting | Thomas, Wayne | Aug 25 - Oct 17
41550 | ACCT | 5202 | 995 | Financial Accounting | Thomas, Wayne | Aug 25 - Oct 17
42368 | ACCT | 5202 | 996 | Financial Accounting | Thomas, Wayne | Aug 25 - Oct 17
46784 | ACCT | 5202 | 997 | Financial Accounting | Thomas, Wayne | Aug 25 - Oct 17
45085 | ACCT | 5202 | 999 | Financial Accounting | Thomas, Wayne | Aug 25 - Oct 17
50417 | ACCT | 5242 | 995 | Fin Report Assets & Invest | Newton, Ashley | Oct 20 - Dec 12
49019 | ACCT | 5303 | 001 | Accounting Data Analytics | Davis, Ashley | Aug 25 - Dec 12
51373 | ACCT | 5352 | 995 | Financial Statement Analysis | Newton, Ashley | Oct 20 - Dec 12
48511 | ACCT | 5352 | 996 | Financial Statement Analysis | Newton, Ashley | Oct 20 - Dec 12
46485 | ACCT | 5352 | 999 | Financial Statement Analysis | Newton, Ashley | Oct 20 - Dec 12
42514 | ACCT | 5403 | 001 | Accounting Ethics | Stetson, Tracy | Aug 25 - Dec 12
46314 | ACCT | 5553 | 990 | Fraud Examination | Jensen, Kevan | Aug 25 - Dec 12
46316 | ACCT | 5563 | 995 | Oil & Gas Accounting I | Hale, Jean | Aug 25 - Dec 12
46317 | ACCT | 5563 | 999 | Oil & Gas Accounting I | Hale, Jean | Aug 25 - Dec 12
11192 | ACCT | 5613 | 001 | Tax Research and Practice | TBA | Aug 25 - Dec 12
45030 | ACCT | 5643 | 001 | Advanced External Auditing | Williams, Devin | Aug 25 - Dec 12
45029 | ACCT | 5643 | 002 | Advanced External Auditing | Williams, Devin | Aug 25 - Dec 12
25784 | ACCT | 5703 | 001 | Income Tax Accounting II | TBA | Aug 25 - Dec 12
42709 | ACCT | 5960 | 001 | Directed Readings | Stetson, Tracy | Aug 25 - Dec 19
42728 | ACCT | 5960 | 002 | Directed Readings | Price, Richard | Aug 25 - Dec 19
45463 | ACCT | 5960 | 999 | Directed Readings | Stetson, Tracy | Aug 25 - Dec 12
46467 | ACCT | 5970 | 995 | Special Topics in Tax | Stetson, Tracy | Aug 25 - Dec 19
45252 | ACCT | 5970 | 997 | Special Topics in Tax | Stetson, Tracy | Aug 25 - Dec 12
11224 | ACCT | 5980 | 001 | Research for Master's Thesis | TBA | Aug 25 - Dec 19
11227 | ACCT | 5990 | 001 | Research in Accounting | Price, Richard | Aug 25 - Dec 19
11229 | ACCT | 5990 | 002 | Research in Accounting | Cheng, Cheng-Shing | Aug 25 - Dec 19
11231 | ACCT | 5990 | 003 | Research in Accounting | Thomas, Wayne | Aug 25 - Dec 19
11234 | ACCT | 5990 | 004 | Research in Accounting | TBA | Aug 25 - Dec 19
11238 | ACCT | 5990 | 005 | Research in Accounting | Ghosh, Dipankar | Aug 25 - Dec 19
26876 | ACCT | 5990 | 007 | Research in Accounting | Jensen, Kevan | Aug 25 - Dec 19
28484 | ACCT | 5990 | 008 | Research in Accounting | TBA | Aug 25 - Dec 19
36576 | ACCT | 6193 | 001 | Intro to Accounting Research | Price, Richard | Aug 25 - Dec 12
47961 | ACCT | 6553 | 001 | Accounting Theory and Research | Price, Richard | Aug 25 - Dec 19
47962 | ACCT | 6553 | 002 | Accounting Theory and Research | Price, Richard | Aug 25 - Dec 19
39788 | ACCT | 6613 | 001 | Federal Income Tax of Corps | Stetson, Tracy | Aug 25 - Dec 12
45336 | ACCT | 6960 | 004 | Directed Readings | Blaylock, Bradley | Aug 25 - Dec 19
51478 | ACCT | 6973 | 001 | Seminar | Blaylock, Bradley | Aug 25 - Dec 12
11239 | ACCT | 6980 | 001 | Research Doctoral Dissertation | Price, Richard | Aug 25 - Dec 19
11240 | ACCT | 6980 | 002 | Research Doctoral Dissertation | Cheng, Cheng-Shing | Aug 25 - Dec 19
11243 | ACCT | 6980 | 003 | Research Doctoral Dissertation | Blaylock, Bradley | Aug 25 - Dec 19
11244 | ACCT | 6980 | 004 | Research Doctoral Dissertation | Thomas, Wayne | Aug 25 - Dec 19
25366 | ACCT | 6980 | 005 | Research Doctoral Dissertation | TBA | Aug 25 - Dec 19
28416 | ACCT | 6980 | 006 | Research Doctoral Dissertation | Jensen, Kevan | Aug 25 - Dec 19
11246 | ACCT | 6980 | 010 | Research Doctoral Dissertation | TBA | Aug 25 - Dec 19
26905 | ACCT | 6990 | 001 | Independent Study | TBA | Aug 25 - Dec 19
26906 | ACCT | 6990 | 002 | Independent Study | Jensen, Kevan | Aug 25 - Dec 19
26907 | ACCT | 6990 | 003 | Independent Study | Thomas, Wayne | Aug 25 - Dec 19
45334 | ACCT | 6990 | 004 | Independent Study | Blaylock, Bradley | Aug 25 - Dec 19
45335 | ACCT | 6990 | 005 | Independent Study | Price, Richard | Aug 25 - Dec 19
11373 | AERO | 1011 | 001 | Air Force - Heritage & Values | Ashley, Aaron | Aug 25 - Dec 12
11374 | AERO | 1011 | 002 | Air Force - Heritage & Values | Ashley, Aaron | Aug 25 - Dec 12
11380 | AERO | 1300 | 001 | Leadership Laboratory | Maher, Nicholas | Aug 25 - Dec 12
11382 | AERO | 2011 | 001 | Team/Leadership Fundamentals 1 | Pixley, Jeffrey | Aug 25 - Dec 12
11385 | AERO | 2011 | 002 | Team/Leadership Fundamentals 1 | Pixley, Jeffrey | Aug 25 - Dec 12
37672 | AERO | 3013 | 001 | Leading/Effective Comm 1 | Moore, Travis | Aug 25 - Dec 12
11391 | AERO | 3013 | 002 | Leading/Effective Comm 1 | Moore, Travis | Aug 25 - Dec 12
11394 | AERO | 4013 | 001 | American National Security I | Maher, Nicholas | Aug 25 - Dec 12
48866 | AERO | 4013 | 002 | American National Security I | Maher, Nicholas | Aug 25 - Dec 12
47948 | AFAM | 2003 | 001 | Intro - African & AFAM Studies | Hill, Karlos | Aug 25 - Dec 12
47949 | AFAM | 2003 | 002 | Intro - African & AFAM Studies | Coleman, Amos | Aug 25 - Dec 12
47951 | AFAM | 2003 | 003 | Intro - African & AFAM Studies | Benjamin, Andrea | Aug 25 - Dec 12
48720 | AFAM | 2003 | 004 | Intro - African & AFAM Studies | Coleman, Sharri | Aug 25 - Dec 12
48829 | AFAM | 2003 | 005 | Intro - African & AFAM Studies | Storrs, Kayla | Aug 25 - Dec 12
50577 | AFAM | 2003 | 006 | Intro - African & AFAM Studies | TBA | Aug 25 - Dec 12
46996 | AFAM | 2003 | 995 | Intro - African & AFAM Studies | Williams-Dias, Tammara | Aug 25 - Dec 19
46997 | AFAM | 2003 | 996 | Intro - African & AFAM Studies | Coleman, Sharri | Aug 25 - Dec 19
47101 | AFAM | 2003 | 997 | Intro - African & AFAM Studies | Coleman, Sharri | Oct 20 - Dec 12
27947 | AFAM | 2113 | 001 | Africa and the Diaspora | Graham, Greg | Aug 25 - Dec 12
28952 | AFAM | 3423 | 001 | African-American Men | Coleman, Amos | Aug 25 - Dec 12
50742 | AFAM | 3553 | 001 | Slavery and the Civil War Era | Malka, Adam | Aug 25 - Dec 12
50804 | AFAM | 3783 | 001 | Slavery and the Atlantic World | TBA | Aug 25 - Dec 12
47108 | AFAM | 3980 | 001 | Honors Research       (HONORS) | Coleman, Sharri | Aug 25 - Dec 19
49639 | AFAM | 4423 | 001 | African American Health Issues | Coleman, Sharri | Aug 25 - Dec 12
39014 | AFAM | 4443 | 001 | AFAM Mental Health | Milstead-Benabdallah, Valeria | Oct 20 - Dec 12
47950 | AFAM | 4813 | 001 | Prison Industrial Complex | Thibodeaux, Jermaine | Aug 25 - Dec 12
50944 | AFAM | 4970 | 001 | The Black Power Movement | Benjamin, Andrea | Aug 25 - Dec 12
37872 | AFAM | 4990 | 002 | Independent Study | Hill, Karlos | Aug 25 - Dec 19
33933 | AFAM | 4990 | 003 | Independent Study | Graham, Greg | Aug 25 - Dec 19
42751 | AFAM | 4990 | 006 | Independent Study | Coleman, Sharri | Aug 25 - Dec 19
38090 | AME | 2113 | 002 | Statics | Baldwin, James | Aug 25 - Dec 12
10935 | AME | 2113 | 003 | Statics | Haldavnekar, Rupa | Aug 25 - Dec 12
10936 | AME | 2113 | 004 | Statics | Dai, Chenkai | Aug 25 - Dec 12
10937 | AME | 2213 | 001 | Thermodynamics | TBA | Aug 25 - Dec 12
10938 | AME | 2213 | 002 | Thermodynamics | Haldavnekar, Rupa | Aug 25 - Dec 12
34903 | AME | 2213 | 003 | Thermodynamics | Dalton, Christopher | Aug 25 - Dec 12
10939 | AME | 2223 | 001 | Intro to Aerospace Engineering | Bashetty, Srikanth | Aug 25 - Dec 12
32522 | AME | 2402 | 001 | Engineering Computing | Bashetty, Srikanth | Aug 25 - Dec 12
51050 | AME | 2402 | 002 | Engineering Computing | Xu, Bin | Aug 25 - Dec 12
10943 | AME | 3112 | 010 | Solid Mechanics Lab | Baldwin, James | Aug 25 - Dec 12
10944 | AME | 3112 | 011 | Lab-AME 3112-010 | Baldwin, James | Aug 25 - Dec 12
10945 | AME | 3112 | 012 | Lab-AME 3112-010 | Baldwin, James | Aug 25 - Dec 12
10947 | AME | 3112 | 013 | Lab-AME 3112-010 | Baldwin, James | Aug 25 - Dec 12
34746 | AME | 3112 | 015 | Lab-AME 3112-010 | Baldwin, James | Aug 25 - Dec 12
36006 | AME | 3112 | 016 | Lab-AME 3112-010 | Baldwin, James | Aug 25 - Dec 12
10949 | AME | 3143 | 001 | Solid Mechanics | Jiang, Yijie | Aug 25 - Dec 12
36039 | AME | 3143 | 002 | Solid Mechanics | TBA | Aug 25 - Dec 12
10971 | AME | 3143 | 003 | Solid Mechanics | Dai, Jingyao | Aug 25 - Dec 12
42319 | AME | 3153 | 001 | Fluid Mechanics | Shabgard, Hamidreza | Aug 25 - Dec 12
10973 | AME | 3153 | 002 | Fluid Mechanics | Kazempoor, Pejman | Aug 25 - Dec 12
10974 | AME | 3253 | 001 | Aerodynamics | Vedula, Prakash | Aug 25 - Dec 12
10975 | AME | 3272 | 010 | Windtunnel Laboratory | TBA | Aug 25 - Dec 12
10976 | AME | 3272 | 011 | Lab-AME 3272-010 | TBA | Aug 25 - Dec 12
10977 | AME | 3272 | 012 | Lab-AME 3272-010 | TBA | Aug 25 - Dec 12
33932 | AME | 3272 | 013 | Lab-AME 3272-010 | TBA | Aug 25 - Dec 12
37899 | AME | 3272 | 014 | Lab-AME 3272-010 | TBA | Aug 25 - Dec 12
41786 | AME | 3272 | 015 | Lab-AME 3272-010 | TBA | Aug 25 - Dec 12
10978 | AME | 3363 | 001 | Design-Thermal-Fluid Systems | Merchan-Merchan, Wilson | Aug 25 - Dec 12
10981 | AME | 3363 | 002 | Design-Thermal-Fluid Systems | Dalton, Christopher | Aug 25 - Dec 12
47164 | AME | 3440 | 010 | Mentored Research Experience | Saha, Mrinal | Aug 25 - Dec 19
41062 | AME | 3440 | 015 | Mentored Research Experience | Sun, Wei | Aug 25 - Dec 19
47109 | AME | 3440 | 021 | Mentored Research Experience | Xu, Bin | Aug 25 - Dec 19
49865 | AME | 3440 | 032 | Mentored Research Experience | Sanchez, Diogo | Aug 25 - Dec 19
41064 | AME | 3440 | 034 | Mentored Research Experience | Xu, Shuozhi | Aug 25 - Dec 19
23554 | AME | 3723 | 002 | AME Numerical Meth Engr Comput | Xu, Shuozhi | Aug 25 - Dec 12
37902 | AME | 3723 | 003 | AME Numerical Meth Engr Comput | Garg, Jivtesh | Aug 25 - Dec 12
11020 | AME | 3960 | 016 | Honors Reading        (HONORS) | Baldwin, James | Aug 25 - Dec 19
11021 | AME | 3960 | 019 | Honors Reading        (HONORS) | Parthasarathy, Ramkumar | Aug 25 - Dec 19
43261 | AME | 3980 | 001 | Honors Research       (HONORS) | Attar, Peter | Aug 25 - Dec 19
11023 | AME | 3980 | 002 | Honors Research       (HONORS) | Merchan-Merchan, Wilson | Aug 25 - Dec 19
11042 | AME | 3980 | 003 | Honors Research       (HONORS) | Mistree, Farrokh | Aug 25 - Dec 19
43262 | AME | 3980 | 004 | Honors Research       (HONORS) | Vedula, Prakash | Aug 25 - Dec 19
11043 | AME | 3980 | 005 | Honors Research       (HONORS) | Lai, Fengchyuan | Aug 25 - Dec 19
11045 | AME | 3980 | 007 | Honors Research       (HONORS) | Siddique, Zahed | Aug 25 - Dec 19
11046 | AME | 3980 | 008 | Honors Research       (HONORS) | Gan, Rong | Aug 25 - Dec 19
11047 | AME | 3980 | 009 | Honors Research       (HONORS) | TBA | Aug 25 - Dec 19
11048 | AME | 3980 | 010 | Honors Research       (HONORS) | Saha, Mrinal | Aug 25 - Dec 19
11049 | AME | 3980 | 011 | Honors Research       (HONORS) | Chang, Kuang-Hua | Aug 25 - Dec 19
30476 | AME | 3980 | 012 | Honors Research       (HONORS) | Ghamarian, Iman | Aug 25 - Dec 19
42750 | AME | 3980 | 015 | Honors Research       (HONORS) | Sun, Wei | Aug 25 - Dec 19
11051 | AME | 3980 | 016 | Honors Research       (HONORS) | Baldwin, James | Aug 25 - Dec 19
11052 | AME | 3980 | 017 | Honors Research       (HONORS) | Song, Li | Aug 25 - Dec 19
11053 | AME | 3980 | 018 | Honors Research       (HONORS) | TBA | Aug 25 - Dec 19
11054 | AME | 3980 | 019 | Honors Research       (HONORS) | Parthasarathy, Ramkumar | Aug 25 - Dec 19
42405 | AME | 3980 | 020 | Honors Research       (HONORS) | Dai, Chenkai | Aug 25 - Dec 19
43264 | AME | 3980 | 024 | Honors Research       (HONORS) | Garg, Jivtesh | Aug 25 - Dec 19
40501 | AME | 3980 | 025 | Honors Research       (HONORS) | Dalton, Christopher | Aug 25 - Dec 19
43265 | AME | 3980 | 026 | Honors Research       (HONORS) | Zhang, Dong | Aug 25 - Dec 19
43266 | AME | 3980 | 027 | Honors Research       (HONORS) | Kazempoor, Pejman | Aug 25 - Dec 19
42428 | AME | 3980 | 029 | Honors Research       (HONORS) | TBA | Aug 25 - Dec 19
11022 | AME | 3980 | 030 | Honors Research       (HONORS) | Shabgard, Hamidreza | Aug 25 - Dec 19
51036 | AME | 4093 | 001 | Biomechanics - Ear Mechanics | Dai, Chenkai | Aug 25 - Dec 12
10989 | AME | 4163 | 001 | Principles-Engineering Design | Haldavnekar, Rupa | Aug 25 - Dec 12
34745 | AME | 4163 | 002 | Principles-Engineering Design | Dalton, Christopher | Aug 25 - Dec 12
10991 | AME | G4243 | 001 | Aerospace Propulsion Systems | Parthasarathy, Ramkumar | Aug 25 - Dec 12
